Phylum,Genus,Sample_ID,Abundance,Group
Outros,Outros,A1,1,TEA
Outros,Outros,A1,50,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,7,TEA
Outros,Outros,A1,65,TEA
Outros,Outros,A1,127,TEA
Outros,Outros,A1,20,TEA
Outros,Outros,A1,5,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,347,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,14,TEA
Outros,Outros,A1,14,TEA
Outros,Outros,A1,302,TEA
Outros,Outros,A1,62,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,5,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,20,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,3522,TEA
Outros,Outros,A1,20,TEA
Outros,Outros,A1,359,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,5,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,96,TEA
Outros,Outros,A1,20,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,259,TEA
Outros,Outros,A1,5,TEA
Outros,Outros,A1,5149,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,35,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,147,TEA
Outros,Outros,A1,94,TEA
Outros,Outros,A1,19,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,8,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,16,TEA
Outros,Outros,A1,58,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,15,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,9,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,16,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,133,TEA
Outros,Outros,A1,6,TEA
Outros,Outros,A1,16,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,12,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,13,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,48,TEA
Outros,Outros,A1,18,TEA
Outros,Outros,A1,33,TEA
Outros,Outros,A1,30,TEA
Outros,Outros,A1,47,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,10,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,7,TEA
Outros,Outros,A1,850,TEA
Outros,Outros,A1,7,TEA
Outros,Outros,A1,7,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,106,TEA
Outros,Outros,A1,24,TEA
Outros,Outros,A1,209,TEA
Outros,Outros,A1,11,TEA
Outros,Outros,A1,129,TEA
Outros,Outros,A1,13,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,74,TEA
Outros,Outros,A1,5865,TEA
Outros,Outros,A1,4,TEA
Outros,Outros,A1,282,TEA
Outros,Outros,A1,831,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,22,TEA
Outros,Outros,A1,3,TEA
Outros,Outros,A1,1,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,2,TEA
Outros,Outros,A1,1,TEA
